X, Y
0.000000e+00, 5.000000e+00
1.000000e-03, 4.999667e+00
2.000000e-03, 4.999333e+00
3.000000e-03, 4.999000e+00
4.000000e-03, 4.998667e+00
5.000000e-03, 4.998333e+00
6.000000e-03, 4.998000e+00
7.000000e-03, 4.997667e+00
8.000000e-03, 4.997333e+00
9.000000e-03, 4.997000e+00
1.000000e-02, 4.996667e+00
1.100000e-02, 4.996333e+00
1.200000e-02, 4.996000e+00
1.300000e-02, 4.995667e+00
1.400000e-02, 4.995333e+00
1.500000e-02, 4.995000e+00
1.600000e-02, 4.994667e+00
1.700000e-02, 4.994333e+00
1.800000e-02, 4.994000e+00
1.900000e-02, 4.993667e+00
2.000000e-02, 4.993333e+00
2.100000e-02, 4.993000e+00
2.200000e-02, 4.992667e+00
2.300000e-02, 4.992333e+00
2.400000e-02, 4.992000e+00
2.500000e-02, 4.991667e+00
2.600000e-02, 4.991333e+00
2.700000e-02, 4.991000e+00
2.800000e-02, 4.990667e+00
2.900000e-02, 4.990333e+00
3.000000e-02, 4.990000e+00
3.100000e-02, 4.989667e+00
3.200000e-02, 4.989333e+00
3.300000e-02, 4.989000e+00
3.400000e-02, 4.988667e+00
3.500000e-02, 4.988333e+00
3.600000e-02, 4.988000e+00
3.700000e-02, 4.987667e+00
3.800000e-02, 4.987333e+00
3.900000e-02, 4.987000e+00
4.000000e-02, 4.986667e+00
4.100000e-02, 4.986333e+00
4.200000e-02, 4.986000e+00
4.300000e-02, 4.985667e+00
4.400000e-02, 4.985333e+00
4.500000e-02, 4.985000e+00
4.600000e-02, 4.984667e+00
4.700000e-02, 4.984333e+00
4.800000e-02, 4.984000e+00
4.900000e-02, 4.983667e+00
5.000000e-02, 4.983333e+00
5.100000e-02, 4.983000e+00
5.200000e-02, 4.982667e+00
5.300000e-02, 4.982333e+00
5.400000e-02, 4.982000e+00
5.500000e-02, 4.981667e+00
5.600000e-02, 4.981333e+00
5.700000e-02, 4.981000e+00
5.800000e-02, 4.980667e+00
5.900000e-02, 4.980333e+00
6.000000e-02, 4.980000e+00
6.100000e-02, 4.979667e+00
6.200000e-02, 4.979333e+00
6.300000e-02, 4.979000e+00
6.400000e-02, 4.978667e+00
6.500000e-02, 4.978333e+00
6.600000e-02, 4.978000e+00
6.700000e-02, 4.977667e+00
6.800000e-02, 4.977333e+00
6.900000e-02, 4.977000e+00
7.000000e-02, 4.976667e+00
7.100000e-02, 4.976333e+00
7.200000e-02, 4.976000e+00
7.300000e-02, 4.975667e+00
7.400000e-02, 4.975333e+00
7.500000e-02, 4.975000e+00
7.600000e-02, 4.974667e+00
7.700000e-02, 4.974333e+00
7.800000e-02, 4.974000e+00
7.900000e-02, 4.973667e+00
8.000000e-02, 4.973333e+00
8.100000e-02, 4.973000e+00
8.200000e-02, 4.972667e+00
8.300000e-02, 4.972333e+00
8.400000e-02, 4.972000e+00
8.500000e-02, 4.971667e+00
